S_ID;Years BP;Acacia;Acalypha;Acanthaceae undiff.;Acridocarpus;Adenorandia-type (A. kalbreyeri);Alchemilla;Alchornea;Allophylus;Amaranthaceae undiff.;Anacardiaceae undiff.;Anagallis;Anopyxis klaineana;Anthocleista;Anthospermum;Antiaris-type (A. toxicaria);Antidesma-type;Apiaceae undiff.;Apocynaceae undiff.;Aporrhiza;Araliaceae undiff.;Artemisia;Asteraceae undiff.;Astripomoea;Balanites;Baphia-type;Begonia;Bersama;Bertiera;Blighia;Boscia-type;Brassicaceae undiff.;Bridelia-type;Brucea;Butyrospermum;Campylospermum;Canthium;Capparaceae undiff.;Carapa-type (C. procera);Cassia-type;Cassine;Celastraceae undiff.;Celtis;Centaurea-type;Cissampelos-type;Cissus;Clausena anisata;Clematis-type;Clutia-type;Cnestis-type;Cocculus;Cochlospermum;Combretaceae/Melastomataceae undiff.;Commiphora;Crassula;Crateva adansonii;Croton-type;Crudia-type;Cussonia;Diospyros;Dipsacoideae undiff.;Dolichos-type;Dombeya-type;Drypetes-type;Embelia-type;Entada-type;Entandrophragma-type;Ericaceae undiff.;Eriosema-type;Erythrococca-type;Eugenia/Syzygium;Euphorbiaceae undiff.;Fabaceae undiff.;Faurea-type;Ficus;Flacourtia;Flueggea;Galium/Rubia;Gentianaceae undiff.;Gnidia-type;Harungana;Hermannia-type;Holoptelea grandis;Hymenocardia;Hypericum;Hypoestes-type;Hyptis;Ilex mitis;Impatiens;Indigofera;Irvingia-type;Isoglossa;Ixora-type;Justicia-type;Keetia-type (K. cornelia);Khaya-type;Klaineanthus gaboniae;Lamiaceae undiff.;Lannea-type;Laportea-type;Laurembergia tetrandra;Lecaniodiscus/Lepisanthes senegalensis;Leonotis-type;Lepisanthes-type (L. senegalensis);Leucas-type;Lindackeria-type;Lippia-type;Lobelia;Lonchocarpus;Lophira;Ludwigia-type;Macaranga-type;Maerua-type;Maesa;Mallotus-type;Margaritaria discoidea;Maytenus;Meliaceae undiff.;Mellera-type;Mesanthemum;Mitracarpus hirtus;Mitragyna-type (M. inermis);Monocotyledoneae undiff.;Morelia senegalensis;Morus;Myrianthus-type;Myrica;Myrsine africana;Nuxia-type;Olea capensis;Onagraceae undiff.;Ormocarpum;Pappea capensis;Pausinystalia-type;Pavetta;Pentaclethra macrophylla;Persicaria senegalensis-type;Phaulopsis;Phoenix;Phyllanthus-type;Poaceae undiff.;Podocarpus;Polygala-type;Polyscias;Primulaceae undiff.;Prunus;Pseudospondias-type;Psorospermum;Psydrax subcordata;Pterygota;Pycnanthus;Rapanea;Rhamnaceae undiff.;Rhus-type;Ricinus communis;Rosaceae undiff.;Rubiaceae undiff.;Rubus;Rumex;Salix;Santiria-type;Sapindaceae undiff.;Sapotaceae undiff.;Sauvagesia erecta;Schefflera;Schrebera;Sebaea;Solanaceae undiff.;Sorindeia-type;Spermacoce-type;Stephania-type (S. abyssinica);Sterculia-type;Streptocarpus;Strombosia;Swertia-type (S. abyssinica);Tapinanthus-type;Tapura fischeri-type;Tarenna-type;Teclea-type;Tetracera;Tetrorchidium;Thalictrum;Thecacoris-type;Trilepisium-type (T. madagascariense);Triumfetta-type;Uapaca;Urticaceae undiff.;Wahlenbergia;Xyris;Zanthoxylum-type;cf. Leonardoxa
321778;2291;;;;;;;5;;1;;;;;;;;;;;;4;15;2;;;;;;;;;1;;;;;;;;;;1;;;;;2;;;;;1;;;;;;;;;;;;;;;4;;3;4;;4;;;;;1;;10;;;;;1;4;;33;1;;;;;;;;;1;;;1;;;;;;;;;;;2;;;1;;;;;;;;;;;;;;;2;;;;;2;;;;;;103;6;;;;;;;;;;5;;;;;;;;;;;;;81;;;4;;;;;;;;;;;;;;;;;;;;;;;
321779;2303;;;1;;;;8;;2;;;;;;;;;;;;3;10;;;;;;;;;;;;;;;;;;;;1;;;;;8;;;;;1;;;;;;;;;;;;1;;;7;;1;13;;;;;;;;;20;;;;;3;;;13;1;;;3;;;;;;4;;;;;;;;;;;;;;2;;;;;;;;;;;;;4;;;;9;3;;;;;1;;;;;;125;24;;;;1;;;;;;1;;;;;;;;;;;;;118;;;5;;;;;;;;1;;;;;;;;;;;;;;;
321780;2316;;;;;;;4;1;;;;;;;;;;;;;1;7;;;;;;;;;;3;;;;;;;;;;1;;;;;5;;;;;2;;;;1;;;;;;;;6;;;3;;1;14;;;;;;;;;8;;;;;2;;2;14;;;;2;;;;;;;;;9;;;;;;;;1;;;3;;;;;;;;;;;;;;;;;1;4;;;;;4;;;;;;53;11;;;;1;;;;;;2;;;;;;4;;;;;;;84;;;3;;;;;;;;;;;;;;;;;;;;;;;
321781;2329;;;;;;;4;1;1;;;;;;3;;;;;;;9;;;;;;;;;;;;;;;;;;;;9;;;;;2;;;;;;;;;;;;;;;;;10;;;;;2;13;;;;2;;;;;16;;;;2;;2;;19;3;;;1;1;;;;;;;1;;;;;;;;;;2;;2;;4;;;2;;;;;;;;;;;;1;1;;;;;;;1;;;;46;29;;;;;;;;;;2;;;;;;;;;;;;;57;;;2;;;;;;;;;;1;;;;;;;;;;;;;
321782;2343;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;1;;;;;;;;;;3;;;;;;2;;;;;;1;;;4;;;9;;;;1;;;;;7;;;;;3;1;;13;1;;;1;1;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;2;;;;18;13;;5;;;;;;;;1;;;;;;;;;;;;;20;;;;;;;;;;;;;;;;;;;;;;;;;1;
321783;2369;;;;;;;3;;;;;;;;;;;;;;;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;3;1;1;;;;;;;;;;;2;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;5;1;;;;;;;;;;1;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;;;;;;
321784;2395;;2;;;;;6;;;;;;;;;1;;;;;;5;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;6;;;;;;3;;;;;;;;;6;;3;18;;;;4;;;1;;19;;;;;;4;;22;;;;2;1;;1;;;1;;3;;;;;;;;;;1;;2;;2;2;;;;;;;;;;;;;1;;5;;;;;;1;1;;;;68;13;;;;;;;;;1;1;;;;;;1;1;;;;;;69;;;7;;;;;;;;;;;;;;;;;;;1;;1;;
321785;2421;;;;;;;4;;;;;;;;;;;;;;1;8;;;;;;;;;;3;;;;;;;;;;1;;;;;3;;;;;2;;;;;;;;;;;;;;;3;;1;3;1;1;;;;;;;23;;;;;1;;;25;;;;3;;;;;;;;;;;;;;;;;;;;2;;;2;;;;;;;;;;2;;;;;2;;;;;;;;;;;57;14;;;;2;;;;;;3;;;;;;;;;;;;;65;;;3;;;;;;;;;;;;;;;;;;;;;;;
321786;2446;;;;;;;4;;;;;;;;;;;;;;;4;;;;;;;;;;;;;1;;;1;;;;5;;;;;;;;;;;;;;;;5;;;;;1;;;;2;;6;6;;;;3;;;;1;16;;;;;;1;;20;;;;;;;;;;5;;;;;;;;;;;;1;;;;7;1;;;;;;;1;2;;;;;;;8;;;;;;1;;;;;39;5;;;;4;;;;;;13;;;;;;3;;;;;;;44;;;1;;;1;;;;;;;2;;;1;;;;;;;;;;
321787;2472;;;;;;;5;1;3;;;;;;;;;;;;;6;;;;;;;;;;2;;;;;;;;;;13;;;;;;;;;;4;;;;;;3;;;;;;4;;;3;;3;9;;;;;;;;;13;;;;;;5;;34;;;;2;1;;;;;5;;;2;;;;;;;;;4;;2;;4;;2;;;;;;;1;;;;;;2;3;;;;;;;1;;;;93;8;;;;;;;;;;6;;;;;;;;;;;;;62;;;;;;;;7;;;;;;;;;;;;;1;;;;1;
321788;2498;;;;;;;7;1;1;;;;;;;;;;;;2;;;;;;;;;;;2;;;;;;;;;;3;;;;;1;;;;;1;;;;;;;;;;;;5;;;7;;7;10;;3;;;;;;;15;;;1;;4;1;;20;1;;;2;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;4;;;;;3;;;;;;84;10;;;;5;;;;;;5;1;;;;;;;;;;;;107;;;1;;;;;;;;;;;;;;;;;;;;;;;
321789;2524;;1;;;;;5;;2;;;;;;;;;;;;1;9;1;;;;;;;;;1;;;;;;;;;;1;;;;;5;;;;;3;;;;;;;;;;;;;;;4;;3;6;;1;;;;;;;25;;;;;5;3;;17;1;;;1;;;;;;4;;;2;;;;;;;;;;;1;;;1;;;;;;;;;;4;;;;;1;;;;;;;;;;;70;8;;;;7;;;;;;9;;;;;;;1;;;;;;119;;;3;;;;;;;;;;;;;;;;;;;;;;;
321790;2550;;;;;;2;17;1;1;;;;;;1;1;;;;;1;6;;;;;;;;;;1;;;;;;;;;;6;;;;;5;;;;;1;;;;;;2;;;;;;6;;;1;;;13;;;;8;;;;;10;;;;;1;;;12;1;;;;;;;;;1;;;;;;;;;;;;4;;1;;3;2;1;1;;;;;;;;;;;;1;;;;;;;;;;;1;69;14;;;;;;;;;;2;;;;1;;;;;;;;;45;;;;;;2;;1;;;1;;;;;;;;;;;;;;;
321791;2576;;;;;;;9;1;1;;;;;;;;;;;;;6;;;;;;;;;;1;;;;;;;;;;1;;;;;2;;;;;7;;;;;;;;;;;;;;;12;;4;14;;3;;;;;;;8;;;1;;2;1;;25;;;;;;;;;;1;;;;;;;;;;;;1;;11;;;7;;;;;;;;;;;;;;;16;;;;;;;;;;3;171;48;;;;1;;;;;;4;;;2;;;;1;;;1;;;46;;;1;;;;;;;;;;;;;;;;;;;;;;;
321792;2607;;;;;1;;6;1;2;;1;;;;;;;;;4;1;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;1;;;;3;;;12;;;;;;;;;5;;;;1;2;;;8;;;;;3;;;;;3;;;2;;;;;;;;;4;;;;1;;;;;;;;;;;;;;;1;10;;;;;;;1;;;;118;32;;;;;;;;;;3;;;;;1;;;;;;;;54;;;;1;;;1;;;;;;;;;1;;1;;;;;;;2;
321793;2688;;3;;;;1;11;;2;;;;1;;1;;;;;6;;;;;;;;;;;;1;;;;;;1;;;;5;;;;2;;;;;;3;;;;;;9;;;;;;11;;;9;;1;13;;;;7;;;;;3;;;;3;1;2;;12;2;;;;2;;;;;;;;2;;;;;;;;;1;;4;;3;1;;3;;;;;;;;;;;;3;1;;;;;;;;;;;38;23;;;;;;;;;;19;;;;;;;1;;;;1;;44;;;;;;;;4;;;;;1;;;;;;4;;2;;;;;
321794;2768;;;;;;;5;1;1;;;;;;1;4;;;1;;;12;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;1;;;;;;2;;;4;;;28;;1;;1;;;;;5;;;;;;3;;14;1;;;;1;;;;;1;;;;;;;;;;;;;;;;11;;;;;;;;;;3;;;;;;1;;;;;;;;;;;123;27;;;;1;;;;;;12;;;;;;1;;;;;;;46;;;;;;1;;4;1;1;;;;;;1;;;;;;;;;;
321795;2849;;;;;;;3;1;1;;;;;;;6;;;;;;51;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;2;;;;;;2;;;;;;;;;6;;1;24;;;;2;;;;;1;;;3;;1;8;;25;1;;;;2;;1;;;2;;;;;;;;;;;;5;;;;1;2;;1;;2;;;1;;;;;;;2;2;;;;;;;;;;;76;44;;;;;;;;;;2;;;;;;;;;;;;;34;;;2;;;;;3;;;;;;;;;;;;;;;;;;
321796;2930;;;;;;;3;;2;;;;;;2;2;1;;;;;32;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;5;;;;;1;;;;11;;3;9;;;;2;;;;;13;;;;;;3;;14;3;;;;1;;;;;;;;;;;;;;;;;;;1;;3;2;;;;;;;;;3;;;;1;2;1;;;;;;;;;;;63;20;;;;;;;;;;6;;;;;;2;;;;;;;23;;;;;;;;5;1;;;;1;;;;;;;;;;;;;
321797;3011;;;;;;;4;;1;;;;;;1;;;;;;;13;;;;;;;;;;;;;;;;;;;;3;;;;5;1;;;;;1;;;;1;;2;;;;;;4;;;4;;2;12;;;;4;;;;;9;1;;;;;5;;5;1;;;2;;;;;;;;;;;;;;;;;;;;;;1;;;1;;;;;2;6;;;;;;5;;;;;;;;;;;;39;23;;;;;;;;;;4;;;;;1;;;;;;;;17;;;1;;;;;1;;;;;;;;;;;;;2;;;;;
321798;3091;;;;;;;6;;;;;;;;;;1;;;;;5;;;;;;;;;;;;;;;;;;;;5;;;;;2;;;;;1;;;;;;3;;;;;;6;;;;;2;20;;;;2;;;;;1;;;;;;2;;16;;;;;1;;;;;1;;;;;;;;;;;;1;;4;;13;;1;3;;;;;1;;;;;;;;9;;;;4;;;;;;;83;39;;;;;;;;;;15;;;;;;6;1;;;;;;47;;;5;;;1;;2;;1;;;4;;;;;;3;;1;;;;;
321799;3172;;;;;;;7;;;;;;;;;1;;;;;;3;;;;1;;;;;;;;;;;;;;;;2;;;;;4;;;;1;7;;;;;;6;;;;;;1;1;;2;;4;25;;;;1;;1;;;11;;;;;;2;;12;;;;1;;;2;;;;;;;;;;;;;;;1;;4;;21;4;;;;;;;;;;;;;;5;23;;;;1;;;;;;2;80;28;;;2;1;;;;;;8;1;;2;;;;;;;;;;37;;;;;;1;;2;;;;;2;;;;;;1;;1;;;;;
321800;3253;;1;;;;;12;1;;;;;;;1;;3;;;;;1;;;;;;;;;;1;;;;;;;;;;10;;;;;3;;;;;2;;;;;;2;;;;;;6;;;1;;;34;;1;;4;;;;;;;;;;1;;;11;1;;;;1;;;;;;;;;;;;;;;;;7;;1;;7;1;1;3;;;;;;;;;;;;;9;;;;;;;;;;;54;61;;;;;;;;;;6;;;;;;;;;;;;;44;1;;;;;2;;1;;;;;;;1;2;;;;;;;;;;
321801;3333;;;;;;;19;;1;;;;;;1;1;1;;;;;4;;;;;;;;;;;;;;;;;;;;6;;;;1;;;;;;1;;;;;;3;;;;;;;;;7;;;13;;;;3;;;;;5;;;;1;;;;8;;;;1;1;;1;;;2;;2;1;;;;;;;;;2;;4;;19;3;;13;;;;;;;;;;;;;45;;;;1;1;;;;;2;38;164;;;;;;;;;2;17;;;;;;;;;;;;;28;;;;;;1;;1;;;;;;;;1;;;2;;1;;;1;;
321802;3374;;;;;;;22;2;1;;;;1;;;1;;;;;1;3;;;;;;;;;;;;;;;;2;;;;9;;;;;1;;;;;2;;;;;;;;;;;;7;;;4;;;17;;1;;2;;;;;;;;;;;;;11;;;;;3;;1;;;1;;;;;;;;;;;;;;21;;5;2;5;6;;;;;1;;;;;;;;41;;;;;1;;;;;1;20;136;;;;;;;;;;16;;;;;;;;;;;1;;62;;;3;;;1;;4;;;;;;2;;;;;;;;;;1;;
321803;3435;;;;;;;21;1;;;;;;;;1;;;;5;;8;;;;1;;;;;1;;;;;;;;;;;20;;;;3;1;;;;;2;;1;;;;5;;;;;;15;;;6;;1;13;;;1;8;;;;;4;;;;4;;;;11;1;;;;1;;;;;;;;2;;;;;;;;;5;;2;;2;2;;8;;;;;;2;;;;;;;57;;;;;;;;;;;26;149;;;;;;;;;;10;1;;;;;;;;;;;;19;;;1;;;;;;;;;;3;;;2;;;1;;;;;;;
321804;3580;;;;;;;26;1;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;16;;;;1;;;;;;2;;;;;;;;;;;;3;;;5;;1;21;;1;;6;;;;;;;;1;;2;;;27;;;;1;6;;4;;;2;;;1;;;;;;;;;2;;8;;15;3;;8;;;;;1;;1;;;;;2;103;;;;1;3;;;;;;21;106;;;;1;;;;;;9;;;;;;1;;;;;1;;35;;;3;;;2;;1;;;;;4;;;2;;;;;;;;;;
321805;3724;;;;;;;14;;2;;;;;;;;;;;;;2;;;;1;;;;;1;;;;;;;;;;1;3;;;;1;2;;1;;;1;;;;;;;;;;;1;6;;;;;;16;;;;3;;;;;;;;;1;;;;5;;;;;;;;;1;7;;;;;;;;;;;;7;;;;9;2;;;;;;;1;;;;;;1;;29;;;;;;;;;;;18;62;;;;;;;;;;;;;;;1;;;;;;;2;50;;;;;;1;;;;;;;;;;;;;;;;;;;;
321806;3869;;;;;;;21;;3;;;;;;1;;;;;;;2;;;;;;;;;;2;;;;;;;;;;18;;;;;2;;;;;2;;;;;;;;;;;;4;;;7;;;14;;1;;6;;;1;;;;;1;1;;2;;12;1;1;;;3;;;;;;;;;;;;;;;;;2;;14;;9;2;;17;;;;;;;;;;;1;2;51;;;;;1;;;;;;19;55;;;;2;;;;;;11;1;;;;;;1;;1;;;;91;;;6;;;3;;5;;;1;;;;;1;;;;;;;;;;
321807;4014;;;;;;;35;;;;;1;1;;;;;;1;;;8;;;;;;;;;;1;;;;;;;;;;10;;;;;4;;;;;4;;;;;;9;;;;;;4;;;1;;7;19;;;;;;;;;;;;;;;;;46;;;;3;3;;;;;3;1;;;;;;;;;;;1;;2;;8;3;1;6;;1;;;2;;;;;;2;3;50;;;;2;;1;;;;2;26;84;;1;;;;;;;1;6;;;;;;;;;;1;;;60;;;;;;1;;3;;;;;3;;;6;;;;;2;;;1;;
321808;4159;;;;;;;25;;;;;;;;;;;;1;;;2;;;;;;;;;;;;;;;;1;;1;;10;;;;1;1;;;;;;;;;;;;;;;;;4;;;;;;25;;;;6;;;;;;;;;1;1;;;22;;1;;3;3;;;;;1;;;1;;;;;;;;;1;;5;;4;1;2;5;;;;;;;;;;;2;2;39;;;;1;1;1;;;;1;14;83;;;;3;1;;;;1;5;;;;;;2;;;;;;;134;;;1;;;1;;3;;;;;;;;2;;;3;;;;;1;1;
321809;4303;;;;;;;10;;1;;;;;;;;;;2;;;6;;;;;;;;;;1;;;;;;1;;;;9;;;;;1;;;;;;;;;;;3;;;;;;1;;;2;;;18;2;;;7;;;;;;;;;;;;;25;3;;;4;6;;;;;8;1;;2;;1;;1;;1;;;;;;;7;;1;3;;;;;2;;;;;;;5;34;;;;2;1;4;;;;;10;77;;1;;2;;;;;;7;;;;;;2;;;1;;1;;117;;1;;;;1;;1;;;;;2;;;5;;;;;;;;;;
321810;4448;;2;;;;;13;1;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;;;5;;;;;3;;;;;3;;;;;;2;;;;;;;;;2;;;36;;;;2;;;;;;;;;;;;;19;3;;;2;1;;;1;;1;;;;;;;;;;;;2;;5;;2;2;;4;;;;;1;;;;;;;;42;;;;3;;;;;;;8;61;;;;;1;;;;1;16;;;;;;;;;2;;;;194;;;;;;;1;4;;;;;1;;;2;;;1;;;;;3;;
321811;4593;;;;;;;7;5;;;;;1;;;;;;;;;4;;;;;;;;;;;;;;;;;;;2;6;;;;;1;;;;;2;;;;;;4;;;;1;;4;;;1;;;36;;;;15;;;;;1;;;;;1;2;;26;1;;;;2;;;;;1;1;;;;;;;;;;;3;;4;;5;3;4;18;;;;;3;;;;;;;;23;;;;;;;;;;;7;47;;;;5;;;;;;2;1;;;;;1;;;;;;;231;1;;1;;;;3;7;;;;;2;;;;;;;;;;;2;;
321812;4738;;;;;;;21;1;;;;;;;;;;;;;;3;;;;1;;;;;;;;;;;;;;;;12;;;;;2;;;;;3;;;;;;3;;;;;;;;;2;;2;35;;1;;2;;;;;;;;;;1;;;27;;;;4;2;;;;;;1;;1;;;;;;;;;2;;2;;10;1;1;11;;;;;;;;;;;;;41;;;;1;;;;;;;10;46;;;;;;;;;1;7;2;;;;;4;;;;;;;144;;;3;;;1;;1;;;;;3;;;1;;;1;;;;;;2;
321813;4882;;;;;;;17;1;;;;;;;;;;;;;;6;;;;;;;;;;;;;;;;;;1;;14;;;;;3;;;;;2;;;;;;13;;;;1;;2;;;;;7;49;;;;3;;;;;;;;;6;2;;;20;2;1;;;5;;;;;1;;3;;;;;;;;;;;;3;;12;1;1;5;;;;;;;7;;;;;;28;;;;1;1;;;;;;6;31;;;;1;;;;;;13;;;;;;3;1;;2;;;;138;;;3;;;1;;5;;;;;2;;;1;;;;;2;;;;1;
321814;5027;;;;;;;19;1;1;;;;;;2;;;;;;;4;;;;;;;;;;2;;;;;;4;;;;13;;;;;3;;;;;;;;;;;2;;;;;;1;;;1;;1;55;1;;;4;;;;;;;;1;;;;;22;4;;;9;2;;;;;2;;;;;;;;;;;;;;7;;2;1;5;7;;;;;;1;;;;;;1;26;;;;;;;;;;;9;51;;;;1;;;;;;10;1;;;;;1;;;1;;;;176;;;7;;;1;;8;;;;;2;;;;;;;;;;;;2;
321815;5172;;;;;;;37;;2;;;;;;;;;;;;;4;;;;2;;;;;;;;;;;;;;;;12;;;;1;;;;;;2;;;;;;39;;;;;;;;;;;;19;;;;7;;;;;;;;;;;;;13;1;;;;;;;;;;;1;1;;;;;;;;;1;;2;;4;;;;3;1;;;;;;;4;;;;23;;;;;;;;;;;13;22;;;;;;;;;;1;;;;;;;;;;;;;132;;;11;;;;;;;;;;;;;;;;;;;;;;3;
321816;5317;;1;;;;;20;3;;;;;1;;1;;;;;;1;7;;;;;;;;;;;;;;;;3;;;;8;;;;;1;;;;;1;;;;;;2;;;;;;3;;;1;;3;39;2;;;6;;;;;;;;;1;;1;;14;;;;3;2;;2;;;1;;;2;;;;;;;;;3;;3;;3;6;;6;;;;;;;;;;;;4;39;;;;;;;1;;;1;3;58;;;;3;;;;;2;8;;;;;;10;1;;2;;;;183;;;;;;1;;7;;;;;;;;4;;1;1;;;;;2;3;
321817;5461;;;;;;;10;1;;;;1;2;;;;;;;;;7;;;;3;;;;;;3;;;;;;;;;;10;;;;;1;;;;;3;;;;;;2;;;;;;3;;;1;;;42;5;;;4;;;;;;;;;1;;1;;19;;;;3;;;;;;2;;1;4;;;;;;;;;;;5;;6;3;;4;;;;;;;;;;;;2;21;;;;3;1;;;;;1;4;42;;4;1;1;1;;;;1;14;;;;;;4;;;;;;;137;;;;;;1;;11;;;;;;;;3;;;3;;;;;1;;
321818;5606;;2;;;;;21;2;1;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;4;;;;8;;;;;;;;;;3;;;;;;7;;;;;;;;;1;;;35;;;;3;;;;;;;;1;2;;;;9;;;;2;2;;1;;;3;;;;;;;;;;;;7;;7;;6;2;;9;;2;;;1;;;;;;;5;34;;;;4;;;;;;1;12;20;;;;;;;;;1;4;;;;;;2;2;;1;;;;181;;;9;;;;;4;;;;;;;;4;;;1;;;;;1;;
321819;5751;;;;;;;15;3;;;;;1;;;;3;1;;;;3;;;;1;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;4;;;;;;3;;;1;;2;28;;;;4;;;;;;;;1;;;;;6;1;;;2;2;;;;;3;;;;;;;;;;;;;;3;;9;5;2;2;;;;;1;;;;;;;4;51;;;;1;1;;;;;1;3;42;;2;;7;;;;;;11;;;;;;2;;;;;;;120;;;2;;;;;7;;;1;;2;;;2;;;1;;;;;;;
321820;5925;;;;;;;21;2;;;;;;;2;1;;;;;;2;;;;;;;;;;1;;;;;;2;;;;10;;;;;;;;;;2;;;;;;1;;;;1;;5;;;1;;;27;1;;;11;;;;;;;;4;;;;;15;;;;;3;;;;;;;;1;;;;;;;;;1;;10;;2;2;;10;;;;;;;1;;;;;1;32;;;;;1;;;;;1;11;43;;;;2;;;;;;11;;;;;;5;1;;1;;1;;202;;;;;;1;;4;;;;;;;;5;;;;;3;;;1;2;
321821;6040;;1;;;;;28;3;;;;;1;;1;;;;;;;3;;;;1;;;;;;;;;;;;3;;3;;16;;;;;1;;;;1;;;;;;;;;;;;;6;;;4;;;47;1;;;11;2;1;;;;;;;;;2;;11;;;;4;;;;;;;;;;;;;2;;;;;;;3;;6;2;1;7;;;;;;2;;;;;;;17;;;;;;7;;;;;6;35;;1;;;1;;;;;9;;1;;;;9;;;;;;;207;;;2;;;1;1;1;;;;3;1;;;3;;;;;;3;;;2;
321822;6185;;;;;;;17;;1;;;;4;;2;2;;;;;;7;;;;;;;;;;;;;;;;2;;;;4;;;;;4;;;;;1;;;;;;5;;;;;;5;;;2;;1;47;;;;5;;;;;1;;;;;;;;8;;;;4;2;;2;;;;;;1;;;;;;;;;;;5;;4;3;;15;;;;;1;;2;;;;;2;24;;;;;;;;;;;;53;;1;;4;;;;;;12;;;;;;1;1;;1;;;;189;;;1;;;1;;;;;;;;;;1;;;;;;;;1;1;
321823;6319;;;;;;;32;2;2;;;;;;;;;;;7;;4;;;;1;;;;;;;;;;;;;;;1;11;;;;12;2;;;;;1;;;;1;;3;;;;;;2;;;4;;;52;;;;2;;;;;;;;;2;;;;9;1;1;;;1;;;;;1;;;;;;;;;;;;1;;1;;1;;;;;;;;;;;;;;;;43;;;;;;;;;;;10;50;;;;;;;;;;4;;;;15;;;;;;;;;143;;;;;;;;;;;2;;;;;2;;;;;;;;;1;
321824;6497;;;;;1;;17;1;1;;;;1;;;;;;;6;;;;;;;;;;;;1;;;;;;2;;1;;27;;;;;1;;;;;;;;;;;48;;;;;;2;;;;;;39;2;;;4;;;;1;;;;;1;;1;;;1;;;2;2;;3;;;1;;;1;;;;;;;;;4;;2;;5;3;2;19;;;;;1;5;;;;;;;45;;;1;;;;;;4;;9;51;;1;;;;;;;;6;;;;;5;1;;;;;1;;117;;;1;;;;;;;;2;;3;1;;4;;1;1;;;1;;;;
321825;6676;;;;;;;12;;;;;;;;;;;;1;;;5;;;;1;;;;;;2;;;;;;1;;;;18;;;;;;;;;;2;;;;;;5;;;;;;1;;;;;5;32;;;;7;;;;;;;;;2;;2;;15;1;;;;;;;;;2;;;3;;;;;;;;;1;;2;;7;3;2;;;;;;;;;;;;;3;54;;;;3;;;;;;1;4;61;;10;;1;2;;;;;7;;;;;;7;;;1;;;;117;;;;;;2;1;;;;1;;;;;1;;;1;;2;;;1;;
321826;6854;;;;;;;26;;1;;;;;;;;5;;1;;;2;;;;;;;;;;;;;;;;;;1;;16;;;;1;2;;;;;1;;;;;;5;;;;;;4;;;;;;22;;;;9;;;;;;;;;;1;;;14;2;;;1;1;;;;;2;;;;;;;2;;;;;7;;4;;9;12;2;12;;;;;1;;;;;;;;24;;;;;;;;;;;7;54;;3;;;;;;;1;11;;1;;;;9;;;;;;;159;;;1;1;;1;;7;;;;1;1;;;;;;6;;;;;;1;
321827;7032;;;;;;1;20;3;;;1;;;;;1;;;;;1;1;;;;1;;;;;;;;;;;;2;;;;15;;;;;2;;;;;1;;;;;;7;;;;;;2;;;;;7;29;;2;;9;;1;;;;;;;;;1;;2;1;;;;2;;;;;1;;;2;;;;;;;;;;;3;;11;6;;;;;;;1;;;;;;1;8;62;;;;;;;;;;;4;93;;2;1;;;;;;;7;;;;;;4;;;;;;;137;;1;1;;;1;;2;;;;;;;;6;;;;;;;;1;;
321828;7211;;;;;1;;22;;;;;;1;;4;;;;;2;;3;;;;;;;;;;2;;;;;;1;;;;16;;;;1;4;;;;;1;;;;;;24;;;;;;3;;;;;1;24;;;;8;;;;;;;;;1;;1;;9;1;;;2;;;;;;1;;;;;;;;;;;;;;2;;4;7;2;4;;;;;1;;;;1;;;3;51;;;;1;;;;;;;5;90;;;;;;;;;;8;;;;;;;;;1;;1;;74;;;4;;;5;3;;;;;;1;;;3;3;;;;1;;;1;;
321829;7389;;;;1;;;18;;2;;;;;;1;;1;;;;;7;;;;1;;;;;;;;;;;;1;;;;14;;;;;5;;;;;1;;;;;;10;;;;1;;2;;;;;2;14;2;;;11;;;;;;;;;;;1;;8;;;;1;1;;;;;;;;1;;;;;;;;;;;2;;8;3;;;;;;;2;;;;;;;1;61;;;;;;;;;;1;5;139;;6;;;;;;;;5;1;;;;;6;;;;;;;87;;;1;;;2;;2;;;;;2;;;4;1;;;;;;;;;
