YBP;Acacia;Acalypha;Alchemilla;Allophylus;Aloe;Anthospermum;Apiaceae;Artemisia;Aster;Asteraceae;Brassicaceae;Capparidaceae;Carduus;Caryophylaceae;Cassia;Chenopodiaceae;Clematis;Combretum;Commiphora;Cussonia;Dobera;Dodonaea;Ephedra;Erica;Euclea;Euphorbiaceae;Ficus;Hagenia;Hypericum;Hypoestes;Iridaceae;Juniperus;Justicia;Lamiaceae;Lannea;Leguminosae;Macaranga;Maytenus;Melastomataceae;Monoletes;Myrica;Myrsine;Olea;Poaceae;Podocarpus;Polygonum;Rapanea;Rhus;Rosa;Rumex;Schefflera;Securinega;Senecio;Solanum;Teclea;Urticaceae;Zanthoxylum;Undetermined
6333;0;0;2;0;0;23;8;9;2;25;1;0;0;1;0;4;0;1;0;0;0;0;0;54;0;0;0;3;1;0;3;39;0;1;1;0;0;0;0;4;1;0;4;144;27;0;0;1;0;0;1;0;4;0;0;0;2;4
6365;0;0;11;0;0;18;4;1;1;25;2;0;0;1;0;1;1;3;0;0;0;0;0;48;0;0;0;4;5;0;2;23;0;3;0;0;0;0;0;4;3;0;0;208;21;0;0;1;0;0;0;0;2;0;0;0;1;2
6399;0;2;4;0;0;10;13;0;0;32;2;0;0;0;0;3;0;5;0;0;0;0;0;69;0;0;0;4;2;0;1;20;2;0;0;3;0;0;0;0;5;1;4;124;32;0;2;1;0;0;0;0;1;0;0;0;0;4
6456;0;0;1;0;0;11;9;3;2;38;0;0;0;2;0;5;0;4;2;0;0;2;0;86;0;0;0;2;5;0;0;16;0;4;0;2;0;0;0;3;5;1;1;127;25;0;2;1;0;0;0;0;4;0;0;0;0;2
6524;0;0;10;0;0;14;7;4;0;12;2;0;0;2;1;5;0;2;5;0;0;1;0;185;0;1;0;3;5;0;4;26;1;5;0;2;0;0;0;4;4;2;2;143;30;0;0;0;0;0;0;0;1;0;0;0;0;1
6560;0;0;9;0;0;6;1;7;1;17;0;0;0;4;0;1;0;5;2;0;0;2;0;105;0;2;0;0;1;0;4;32;1;1;2;4;0;0;1;1;0;0;3;104;37;0;0;0;0;0;0;0;4;0;0;0;0;0
6616;0;0;12;0;0;7;3;5;1;15;1;0;0;5;0;0;0;2;4;0;0;1;0;78;0;2;0;1;1;0;4;20;2;0;0;0;0;0;0;0;1;2;1;64;20;0;0;0;0;0;0;0;2;0;0;0;0;2
6644;0;0;6;0;0;13;9;9;1;7;0;0;0;5;0;1;0;0;0;0;0;0;0;114;0;0;0;0;1;0;5;26;1;2;0;2;0;0;0;5;2;1;1;90;28;0;0;0;0;0;0;0;3;0;2;0;0;1
6673;0;0;10;0;0;24;6;12;1;30;1;0;0;1;0;4;0;0;1;0;1;0;0;225;1;0;0;3;1;0;3;36;0;2;0;3;0;0;0;5;0;0;1;75;21;0;0;0;0;0;0;0;2;0;0;1;0;0
6702;0;0;2;0;0;9;7;4;2;29;1;1;0;0;0;1;1;2;2;0;0;0;0;48;1;0;0;4;4;0;3;28;0;5;0;3;0;0;0;4;3;1;1;95;36;0;0;0;0;0;0;0;2;0;0;0;0;0
6744;0;0;1;0;0;18;15;4;2;10;0;0;0;0;0;0;0;3;5;0;0;0;0;37;0;0;0;3;0;0;4;24;0;2;0;3;0;0;0;4;4;1;2;110;21;0;0;0;0;0;0;0;0;0;0;0;0;5
6801;0;0;5;0;0;8;6;1;1;36;0;0;0;2;0;1;0;1;0;0;0;0;0;42;1;0;0;5;2;0;4;21;1;3;0;0;0;0;0;2;4;1;0;112;40;0;0;1;0;0;0;0;4;0;0;0;0;4
6855;0;0;9;0;0;15;8;4;1;37;2;0;0;0;0;4;0;3;0;0;0;0;0;58;0;0;0;5;2;0;1;18;1;1;0;0;0;0;0;5;2;0;3;65;33;0;0;1;0;0;0;0;2;0;0;0;0;0
6908;0;0;1;0;0;8;3;0;0;33;1;0;0;3;0;0;0;2;4;0;0;0;0;36;2;0;0;5;4;0;1;25;2;4;1;5;0;0;0;1;1;2;1;113;20;0;0;0;0;0;0;1;2;0;1;0;0;5
6946;0;0;6;0;0;6;0;5;1;28;0;0;0;0;0;0;0;3;5;0;0;0;0;24;0;0;0;2;5;0;5;20;1;5;0;1;0;0;0;3;4;1;3;57;20;0;0;1;0;0;0;0;5;0;2;0;0;3
6994;0;0;5;0;0;25;13;0;1;31;0;0;0;4;0;4;0;5;4;0;0;0;0;13;1;1;0;3;4;0;5;24;1;3;0;1;1;0;0;4;1;1;1;108;14;0;0;0;0;0;0;0;2;0;2;0;1;1
7030;0;0;11;0;0;7;9;0;1;22;2;0;0;3;0;0;0;5;5;0;0;0;0;22;2;0;0;4;0;0;5;6;1;1;0;3;0;0;0;3;1;1;4;128;20;0;0;0;0;0;0;0;4;0;0;0;0;0
7055;0;0;7;0;0;22;12;5;1;33;1;0;0;4;0;2;0;1;2;0;0;0;0;30;3;1;0;0;0;0;4;5;2;4;0;2;0;0;0;4;5;2;4;82;14;0;1;0;0;0;0;0;1;0;0;0;0;1
7080;0;0;2;0;1;15;1;5;0;13;0;0;0;1;0;1;0;0;0;0;1;0;2;45;2;0;0;4;5;1;5;10;2;5;0;2;0;0;0;4;1;2;1;116;10;0;0;1;0;0;0;0;3;1;0;0;0;0
7157;0;0;3;0;0;11;11;5;0;7;1;0;0;5;2;1;0;2;4;0;0;0;5;150;0;0;0;0;1;0;2;7;2;2;0;0;0;0;0;4;2;1;5;189;18;0;0;0;0;0;0;0;3;0;0;0;0;2
7187;0;0;9;0;0;8;6;0;0;29;1;0;0;0;0;4;0;4;3;0;0;0;4;54;1;0;0;1;2;0;0;5;2;0;0;1;0;0;0;3;2;1;5;137;13;0;0;1;0;0;0;0;4;0;0;1;0;3
7269;0;0;9;0;0;23;9;3;0;8;2;0;0;4;1;2;0;3;1;0;0;0;3;90;0;0;0;0;2;0;5;10;1;5;0;2;0;0;0;0;0;2;0;136;15;0;0;1;0;0;0;0;2;0;0;0;0;1
7301;0;0;6;0;0;25;10;0;1;4;0;1;0;3;0;2;2;3;3;0;0;0;4;78;0;0;0;3;0;0;4;9;2;0;0;4;0;0;0;4;3;1;2;126;12;0;0;1;0;0;0;0;3;0;0;0;0;5
7355;0;1;11;0;0;7;2;1;1;29;2;2;0;5;0;2;1;1;1;0;0;0;2;65;1;2;0;5;3;0;2;5;0;1;0;0;0;0;0;3;1;2;3;149;10;0;0;1;0;0;0;0;4;0;0;0;0;5
7390;0;0;8;0;0;6;15;4;0;13;2;1;0;1;0;3;2;3;0;0;0;0;0;58;1;2;0;2;3;0;3;6;2;1;0;2;0;0;0;0;4;1;2;236;14;0;0;1;0;0;0;0;5;0;0;0;0;5
7424;0;0;0;0;0;10;6;4;0;10;1;0;0;5;0;2;1;0;4;0;1;0;5;69;0;2;0;2;5;0;1;6;1;2;0;4;0;0;0;4;2;1;4;198;14;0;0;1;0;0;0;0;5;0;0;0;0;5
7457;0;0;12;0;0;16;12;3;2;7;1;0;0;4;0;5;0;2;2;0;0;0;2;52;0;2;0;1;0;0;3;9;1;3;0;5;0;0;0;0;1;2;1;244;20;0;0;1;0;0;0;1;2;0;0;0;0;5
7488;0;0;0;0;0;25;6;1;0;8;0;0;0;1;0;0;0;0;1;0;0;0;4;41;0;1;0;1;1;0;3;7;2;3;1;5;0;0;0;4;2;1;5;252;14;0;0;1;0;0;0;0;5;0;0;1;0;4
7530;0;0;9;0;0;12;5;5;2;14;1;0;0;1;0;5;0;4;2;0;0;0;4;25;0;2;0;4;1;0;1;6;2;1;0;1;0;0;0;5;2;0;4;163;13;0;0;1;0;0;0;0;3;0;1;0;0;2
7545;0;0;3;0;0;11;14;1;0;17;0;0;0;1;0;1;1;3;1;0;0;0;1;68;0;1;0;0;0;0;5;6;2;5;0;5;0;0;0;3;2;0;5;215;13;0;0;1;0;0;0;0;3;0;0;0;0;3
7571;0;0;10;0;0;5;12;1;1;23;1;0;0;5;0;5;0;4;5;0;0;0;1;85;0;0;0;5;0;0;4;8;2;0;0;2;0;0;0;0;3;2;1;206;19;0;0;0;0;0;0;0;0;0;0;0;0;3
7593;0;0;9;0;0;25;7;5;2;11;2;0;0;2;0;0;1;1;1;0;0;0;0;36;0;2;0;3;1;0;5;9;0;5;0;5;0;0;0;0;4;2;1;188;14;0;0;0;0;0;0;0;5;0;0;0;0;2
7650;0;0;5;0;0;12;6;3;1;12;0;0;0;3;2;2;0;0;4;0;0;0;0;42;0;1;0;0;0;0;1;6;1;2;0;0;0;0;0;1;4;0;5;181;11;0;0;0;0;0;0;0;4;0;0;0;0;4
7704;0;0;7;0;0;18;14;0;1;8;0;0;0;3;0;0;2;4;1;0;0;0;0;75;0;2;0;2;2;0;5;10;1;5;0;2;0;0;0;4;0;0;5;166;17;0;0;0;0;0;0;0;2;0;0;0;0;5
7753;0;0;4;0;0;7;8;3;1;16;2;0;0;1;0;1;2;4;0;0;0;0;0;98;0;3;0;3;2;0;3;8;0;0;0;3;0;0;0;0;5;0;3;228;17;0;1;1;0;0;0;0;2;0;0;0;3;3
7802;0;0;0;0;0;17;6;1;1;10;2;0;0;1;0;3;0;5;0;0;0;0;0;115;0;3;0;0;0;0;3;7;0;3;0;4;0;0;0;4;2;0;2;249;11;0;0;0;0;0;0;0;3;0;0;0;0;0
7841;0;0;8;0;0;14;11;2;2;13;0;0;0;3;0;1;1;1;0;1;0;0;0;102;0;0;0;5;0;0;4;7;1;2;0;5;0;0;0;3;2;0;2;213;12;0;0;1;0;0;0;0;5;0;0;0;0;2
7869;0;0;6;0;0;7;2;2;2;31;2;0;0;0;0;4;0;5;0;0;0;0;0;94;0;0;0;1;2;0;1;8;0;0;0;0;0;0;0;1;0;0;4;234;19;0;0;0;0;0;0;0;5;0;0;0;0;3
7907;0;0;7;0;0;22;12;4;1;16;1;0;0;1;0;4;1;1;0;0;0;0;0;86;0;0;0;3;1;0;4;6;2;5;0;2;0;0;0;4;2;0;5;183;19;0;0;1;0;0;0;0;3;0;0;1;0;2
7944;0;0;8;0;0;9;9;0;2;15;1;0;0;2;0;3;1;3;0;0;0;0;0;75;0;0;0;4;0;0;2;9;2;0;0;4;0;0;0;3;1;0;5;175;13;0;0;1;0;0;0;0;3;0;0;0;0;3
8015;0;0;3;0;0;17;2;5;2;16;2;0;0;0;0;3;0;5;0;0;0;0;1;58;0;2;0;4;1;0;5;9;2;5;1;1;0;0;0;5;2;0;1;287;16;0;0;0;1;0;0;0;2;0;0;0;0;2
8088;0;0;6;0;0;16;1;0;2;23;0;0;0;0;0;5;0;4;0;0;0;0;2;36;0;0;0;0;2;0;4;8;2;2;0;4;0;0;0;2;2;0;5;393;20;0;0;0;0;0;1;0;3;0;0;0;0;1
8115;0;0;7;0;0;9;5;3;0;16;1;0;0;5;0;1;0;2;0;0;0;0;4;40;0;0;0;1;1;0;4;7;0;0;0;0;0;0;0;5;4;0;5;208;12;0;0;0;0;0;0;0;5;0;0;0;0;2
8156;0;0;4;0;0;14;11;3;1;20;1;0;0;5;1;0;0;1;0;0;0;0;3;78;0;0;0;1;2;0;4;8;1;1;0;0;0;0;0;3;4;0;5;234;14;0;0;0;0;0;0;0;3;0;0;2;0;1
8193;0;0;1;0;0;10;12;4;1;14;1;0;0;4;1;5;0;5;0;0;0;0;3;74;0;0;0;0;2;1;1;9;2;3;0;2;0;0;0;5;4;0;2;266;10;0;0;1;0;0;0;0;1;0;0;0;0;5
8231;0;0;7;0;0;8;10;0;0;25;1;0;0;1;0;4;0;0;0;0;0;0;5;145;0;0;0;1;2;0;2;5;1;3;0;4;0;0;0;3;3;0;2;253;12;0;0;0;0;0;0;0;3;0;0;0;0;0
8245;0;0;7;0;0;7;1;4;2;29;2;0;0;1;0;3;0;4;0;0;0;1;2;94;0;0;0;4;0;0;5;9;2;2;0;5;0;0;0;1;4;0;4;372;11;0;0;0;0;0;0;0;5;0;0;0;0;2
8294;1;0;3;0;0;2;6;2;1;28;0;0;0;2;0;5;0;1;0;0;0;2;1;75;0;0;0;2;1;0;4;8;2;5;0;0;0;0;0;3;3;0;0;220;17;0;0;1;0;0;0;0;2;0;2;0;0;4
8333;0;0;2;0;0;5;11;3;0;30;1;0;0;4;0;1;0;1;0;0;0;1;4;68;0;0;0;5;0;0;1;5;2;5;0;2;0;0;0;0;5;0;0;329;14;0;0;1;0;0;0;0;5;0;0;0;0;5
8398;0;0;8;0;0;13;14;1;1;16;0;0;0;2;0;3;0;3;0;0;0;2;1;119;0;0;0;5;1;0;0;7;2;4;1;4;0;0;0;0;2;0;3;233;13;0;0;1;0;0;0;0;5;0;0;1;0;5
8453;0;0;6;0;0;8;1;3;0;33;0;0;0;3;0;0;0;4;0;0;0;3;0;23;0;0;0;0;0;0;5;11;1;1;0;0;0;1;0;3;3;0;5;392;20;0;0;1;0;0;0;0;5;0;0;0;1;2
8505;0;0;1;0;0;24;2;2;0;30;1;0;0;5;0;5;0;3;0;0;0;2;4;25;0;0;0;1;2;0;2;10;1;0;0;5;0;0;0;3;2;0;4;325;11;0;0;0;0;0;1;0;2;0;0;0;0;5
8559;0;0;5;0;0;12;4;0;0;23;0;0;0;4;0;5;0;5;0;0;0;2;0;37;0;1;0;2;1;0;3;14;1;4;0;5;0;1;0;4;3;0;5;382;16;0;0;0;0;0;0;0;1;0;0;0;0;5
8646;0;1;5;0;0;24;0;3;1;31;2;0;0;5;0;4;0;2;0;0;0;2;0;48;0;0;0;1;2;0;4;9;1;4;0;0;0;0;0;0;4;0;3;340;16;0;0;1;0;0;1;0;2;0;0;0;0;5
8710;0;0;6;0;0;9;0;0;2;22;1;0;0;0;0;2;0;5;0;0;0;1;0;103;0;0;0;2;0;0;2;15;2;0;0;0;0;0;0;1;3;0;0;333;20;0;1;1;0;0;1;0;2;0;0;0;0;3
8759;0;0;5;0;0;6;1;4;2;29;0;0;0;3;0;0;0;0;0;0;0;1;0;75;0;0;0;4;1;0;5;8;1;4;0;2;0;1;0;4;3;0;1;426;12;0;0;1;0;0;1;0;4;0;0;0;0;0
8839;0;0;8;0;0;19;2;5;1;23;2;1;0;2;0;4;0;1;0;0;0;1;0;97;0;0;0;1;0;0;1;13;0;0;0;4;0;0;0;2;0;0;5;438;15;0;0;0;0;0;0;0;0;0;0;1;0;2
8888;0;0;0;0;0;12;3;4;1;29;2;0;0;2;2;4;0;3;0;0;0;1;0;65;0;0;0;1;0;0;5;18;2;5;0;1;0;0;0;1;4;0;1;335;20;0;0;1;0;0;1;0;2;0;0;0;0;3
8923;0;0;3;0;0;6;3;5;2;17;1;0;0;4;0;4;0;2;0;0;0;1;0;50;0;0;0;1;0;0;2;9;1;2;0;3;0;1;1;4;3;0;3;472;18;0;0;0;0;0;0;0;5;0;0;0;0;2
8998;0;0;8;0;0;23;4;0;1;24;0;0;0;0;0;3;0;1;0;0;0;2;0;73;0;0;0;4;2;0;0;16;1;1;0;3;0;2;1;3;5;0;3;349;13;0;0;0;0;0;0;0;5;0;0;0;0;1
9053;0;0;4;0;0;7;3;1;1;28;1;0;0;3;0;0;0;2;0;0;0;1;2;36;0;0;0;1;0;0;2;19;0;5;0;5;0;1;2;0;2;0;3;310;18;0;0;1;0;0;0;0;5;0;0;0;0;4
9088;2;0;5;0;0;17;3;1;0;17;1;0;0;2;0;4;0;5;0;0;0;2;1;105;0;0;0;3;0;0;3;5;0;5;0;0;0;2;1;2;1;0;4;341;11;0;0;1;0;0;0;0;0;0;0;1;0;2
9147;0;0;2;0;1;21;5;2;1;26;0;0;0;0;0;5;0;2;0;0;0;1;4;33;0;0;0;4;2;0;1;10;2;5;0;2;0;0;1;3;4;0;2;308;16;0;0;1;0;0;0;0;5;0;0;0;0;0
9203;0;0;8;0;0;17;1;4;2;21;2;0;0;3;1;3;0;3;0;1;0;2;3;58;0;0;0;5;2;0;1;8;1;5;0;2;0;0;1;4;1;0;2;467;14;0;0;1;0;0;0;0;1;0;0;1;0;5
9295;0;0;0;0;0;24;2;1;1;15;2;0;0;0;0;3;1;0;0;0;0;0;4;29;0;0;0;3;0;0;4;17;1;1;0;0;0;0;1;2;0;0;0;343;48;0;0;1;0;0;0;0;1;0;0;0;0;1
9348;0;0;3;0;0;13;3;5;1;31;1;1;0;3;0;0;1;3;0;0;0;0;2;93;0;2;0;5;2;0;5;10;0;3;0;0;0;0;1;5;0;0;1;471;44;0;0;0;0;0;0;0;0;0;0;1;0;4
9395;0;0;5;0;0;12;3;5;1;25;2;0;0;2;0;1;0;0;0;0;0;0;3;82;0;0;0;4;2;0;3;9;1;0;0;1;0;0;1;5;4;0;5;296;34;0;2;0;0;0;1;0;3;0;0;0;0;1
9457;0;0;7;0;0;17;4;5;0;28;0;0;0;1;0;2;1;3;0;0;0;0;3;85;0;0;0;0;2;0;2;7;1;1;0;0;0;0;1;0;1;0;3;445;36;0;0;0;0;0;0;0;2;0;0;0;3;4
9518;0;0;2;0;0;8;4;4;0;17;2;0;0;3;0;2;0;4;0;0;0;0;4;98;0;0;0;0;1;0;5;12;0;1;0;4;0;0;2;0;4;0;4;387;49;0;0;0;0;0;0;0;1;0;0;0;0;0
9583;0;2;7;0;0;15;5;1;0;30;1;0;0;2;0;5;1;2;0;0;0;0;3;107;0;0;0;4;0;0;1;0;1;2;0;5;0;0;1;0;5;0;3;344;30;0;0;0;0;0;0;0;1;0;0;0;0;5
9614;0;0;1;0;0;22;0;2;2;30;0;0;0;4;0;2;2;4;0;0;0;0;2;89;0;0;0;4;0;0;4;3;0;2;0;5;0;0;2;1;5;0;1;377;44;0;0;0;0;0;0;0;5;0;0;2;0;5
9670;0;0;1;0;0;22;2;1;1;37;2;0;0;4;0;2;3;5;0;0;0;0;2;68;0;0;0;1;1;0;2;9;0;0;0;2;0;0;0;2;10;0;1;299;36;0;0;1;0;0;0;0;2;0;0;1;0;4
9725;0;0;1;0;0;19;1;4;2;20;2;0;0;3;0;4;1;3;0;0;0;0;2;86;0;0;0;1;1;0;3;4;1;4;0;4;0;0;1;2;2;0;6;298;36;0;0;1;0;0;0;0;1;0;0;0;0;4
9814;0;0;8;0;0;10;1;2;2;22;1;0;0;0;2;0;2;3;0;0;0;0;1;75;0;0;0;3;2;0;0;10;1;3;0;3;0;0;1;4;5;0;4;291;36;0;0;0;0;0;0;0;3;0;0;1;0;4
9852;0;0;7;0;0;6;0;3;0;19;2;0;0;3;0;4;1;6;0;0;0;0;5;198;0;0;0;2;2;0;0;0;2;1;0;2;0;0;1;4;8;0;2;141;37;0;0;1;0;0;0;0;3;0;0;0;0;2
9868;0;0;7;0;0;2;1;1;2;28;0;1;0;1;1;1;2;6;0;0;0;0;0;58;0;0;0;1;0;0;0;10;1;1;0;1;0;0;1;0;6;0;4;161;50;0;0;1;0;0;0;0;5;0;0;0;0;2
9963;0;0;6;0;0;11;2;8;2;37;0;2;0;3;1;7;2;0;0;0;0;0;0;78;0;0;0;4;0;0;4;5;1;4;0;3;0;0;1;3;1;0;0;189;50;0;0;1;0;0;0;0;1;0;1;0;0;4
10036;0;0;7;0;0;9;1;8;1;30;2;0;0;4;2;19;1;4;0;0;0;0;0;45;0;0;0;1;1;0;3;2;2;4;1;4;0;0;1;0;8;0;4;125;38;0;0;0;0;0;0;0;5;0;0;0;0;1
10101;0;0;0;0;0;9;3;20;0;30;1;0;0;5;1;18;0;3;0;0;0;0;0;100;0;0;0;3;0;0;2;6;1;3;0;4;0;0;1;5;7;0;4;132;35;0;0;1;0;0;0;0;0;0;0;0;0;5
10164;0;0;8;0;1;4;4;5;0;43;1;0;0;4;2;15;0;2;0;0;0;1;0;31;0;1;0;0;3;0;5;10;0;1;0;2;0;0;1;1;9;0;5;193;50;0;0;0;0;0;0;0;3;0;0;0;0;3
10224;0;0;8;0;0;4;0;10;0;43;0;0;0;0;1;1;0;4;0;0;0;0;0;54;0;0;0;4;1;0;1;10;0;0;0;3;0;0;2;2;5;0;2;204;44;0;0;0;0;0;1;0;4;0;0;1;0;1
10276;0;0;6;0;0;3;0;13;2;36;0;0;0;1;0;7;0;0;0;0;0;0;2;67;0;0;0;0;5;0;0;9;0;3;0;4;0;0;1;3;0;0;3;207;39;0;0;0;0;0;0;0;3;0;0;0;0;2
10326;2;0;1;0;0;1;0;8;0;39;2;0;0;4;0;4;0;0;0;0;0;0;1;94;0;0;0;3;2;0;1;0;0;0;0;3;0;0;2;5;8;0;3;354;47;0;1;0;0;0;0;0;3;0;0;0;0;5
10381;0;0;8;0;0;13;1;9;1;45;0;0;0;0;0;13;0;1;0;0;0;0;0;98;0;0;0;5;2;0;3;8;1;2;0;4;0;0;1;0;9;0;4;258;30;0;0;1;0;0;0;0;1;0;0;0;0;1
10471;0;0;4;0;0;3;3;4;1;44;2;0;0;5;0;12;0;3;0;0;0;0;5;114;0;0;0;5;5;0;4;6;2;0;0;0;0;0;1;5;7;0;2;444;30;0;0;0;0;0;0;0;5;0;0;0;2;4
10545;0;0;7;0;0;14;5;15;0;39;1;0;0;3;0;30;0;1;0;0;0;0;5;51;0;0;0;3;0;2;0;2;2;2;0;4;0;0;2;3;9;0;5;234;41;0;0;0;0;0;0;0;4;0;0;0;1;4
10569;0;0;2;0;0;15;2;19;1;44;1;0;0;3;0;17;0;2;0;0;2;0;2;70;0;0;0;2;0;0;5;4;0;4;0;0;0;0;0;0;10;0;5;455;38;0;0;1;1;0;0;0;1;0;0;0;0;0
10588;0;1;3;0;0;9;5;3;2;32;2;0;0;3;1;22;0;3;0;0;0;0;2;72;0;0;0;3;0;0;1;8;2;4;0;2;0;0;0;1;3;0;2;152;38;0;0;1;0;0;0;0;5;0;0;0;0;0
10626;0;0;7;0;0;9;5;9;0;42;0;0;0;1;0;41;0;0;0;0;0;0;3;102;0;0;0;4;0;0;3;6;1;2;0;5;0;0;0;3;7;0;2;201;45;0;0;0;0;0;0;1;4;0;0;0;0;0
10643;0;0;3;0;0;0;0;14;0;28;0;0;0;5;0;44;0;0;0;0;0;0;2;28;0;0;0;5;0;0;3;4;2;3;0;1;0;0;0;1;4;0;5;301;44;0;0;1;0;0;0;0;5;0;0;0;0;2
10668;0;0;4;0;0;0;1;14;1;34;1;0;0;5;2;15;0;5;0;0;0;0;3;24;0;2;0;1;0;0;3;8;1;1;0;1;0;0;0;4;7;0;3;441;43;0;0;1;0;0;0;0;3;0;0;2;0;5
10717;0;0;3;0;0;0;5;20;1;34;0;2;0;2;0;16;0;3;0;0;0;0;1;60;0;0;0;2;0;0;3;0;1;1;0;0;0;0;0;5;4;0;0;382;42;0;0;0;0;0;0;0;0;0;0;1;0;5
10768;0;0;1;0;0;4;2;18;1;40;0;1;0;3;0;45;0;2;0;0;0;0;3;8;0;0;0;2;0;0;5;1;0;3;0;3;0;0;0;1;3;0;5;205;32;0;0;1;0;0;0;1;0;0;0;0;0;5
10779;0;0;7;0;0;13;1;19;0;44;2;0;0;4;0;40;0;0;0;0;0;0;0;96;0;0;0;0;0;0;4;4;0;3;0;2;0;0;0;1;2;0;5;244;34;0;0;1;0;0;0;0;2;0;0;0;0;2
10800;0;0;5;0;1;2;3;13;0;36;1;0;0;5;0;45;0;3;0;0;0;0;4;87;0;0;0;4;0;0;3;5;2;1;0;1;0;0;0;4;1;0;2;275;42;0;0;0;0;0;0;0;0;0;0;0;0;2
10818;0;0;0;0;0;1;2;4;1;42;1;0;0;0;0;35;0;5;0;0;0;0;0;121;0;0;0;2;0;0;4;15;1;1;0;3;0;0;0;3;1;0;3;427;39;0;2;0;0;0;0;0;3;0;0;0;0;5
10848;0;0;1;0;0;0;0;4;1;25;1;0;0;4;0;21;0;4;0;0;0;0;4;124;0;0;0;4;0;0;0;15;2;4;0;4;0;0;0;2;2;0;1;280;32;0;0;1;0;0;0;0;3;0;0;0;0;3
10863;0;0;0;0;0;1;2;19;0;24;2;0;0;2;0;22;0;1;0;0;0;0;0;76;0;0;0;1;0;0;1;20;0;3;0;3;0;0;0;2;4;0;0;145;33;0;0;1;0;0;0;0;3;0;0;0;0;1
10890;0;0;6;0;0;1;3;0;1;36;0;0;0;0;0;27;0;0;0;0;0;0;0;58;0;0;0;2;0;0;1;15;1;2;0;5;0;0;0;0;4;0;2;296;30;0;0;1;0;0;0;0;3;0;0;0;0;3
10914;0;0;6;0;0;1;0;8;2;44;1;0;0;3;2;26;0;5;0;0;0;0;4;65;0;0;0;2;0;0;3;18;2;3;0;1;0;0;0;5;4;0;5;424;33;0;0;0;0;0;0;0;4;0;0;0;0;2
10943;0;0;7;0;0;2;0;4;0;45;1;0;0;4;1;23;0;5;0;0;0;0;1;48;0;0;0;1;0;0;2;16;2;3;0;3;0;0;0;2;2;0;0;260;32;0;0;1;0;0;0;0;5;0;0;0;0;1
10979;1;0;7;0;0;2;2;29;0;31;0;0;0;3;0;37;0;5;0;0;0;0;0;32;0;0;0;1;0;0;0;17;2;3;0;4;0;0;1;0;1;0;4;139;49;0;0;1;0;0;0;0;2;0;0;0;0;0
11018;0;0;3;0;0;0;4;30;1;33;1;0;0;0;0;38;0;2;0;0;2;0;0;14;0;0;0;2;0;0;1;15;2;0;1;5;0;0;0;5;4;0;4;306;48;0;1;0;0;0;0;0;2;0;0;0;0;3
11071;0;0;3;0;0;1;0;27;1;34;1;0;0;0;0;44;0;0;0;0;0;0;0;4;0;0;0;4;0;0;1;15;1;2;0;5;1;0;0;0;0;0;4;414;43;0;0;0;0;0;0;0;1;0;0;0;0;0
11129;0;2;8;0;0;2;4;20;2;46;1;0;0;0;0;24;0;3;0;0;0;0;0;21;0;0;0;4;0;0;2;18;1;2;2;1;0;0;0;5;4;0;3;419;40;0;0;0;0;0;0;0;2;0;0;1;0;1
11196;0;0;3;0;0;1;1;30;2;33;0;0;0;4;0;15;0;0;0;0;0;0;0;17;0;0;0;0;0;1;0;16;0;5;0;4;0;0;0;2;2;0;2;244;45;0;1;0;0;0;0;0;4;0;0;0;0;2
11226;0;0;5;0;0;1;4;26;0;36;2;0;0;4;0;31;0;3;0;0;0;0;0;8;0;0;0;3;0;0;0;18;1;0;0;1;0;0;0;3;2;0;5;307;44;0;0;0;0;0;0;0;2;0;0;0;0;5
11323;0;0;1;0;0;0;2;26;1;36;1;0;0;2;0;17;0;0;0;0;0;0;0;14;0;0;0;4;0;0;5;16;2;0;0;0;0;0;0;2;0;0;4;213;41;0;0;0;0;0;0;0;4;0;0;0;0;3
11431;1;0;6;0;0;2;0;28;1;34;2;0;0;1;0;33;0;3;0;0;0;0;0;7;0;0;0;4;0;0;2;20;2;4;0;5;0;0;0;4;2;0;1;192;41;0;0;0;0;0;0;0;5;0;0;0;0;0
11593;2;0;7;0;0;1;0;34;0;35;0;0;0;2;0;45;0;3;0;0;0;0;0;6;0;0;0;1;0;0;2;18;0;2;0;1;0;0;0;3;0;0;0;297;50;0;0;0;0;0;0;0;3;0;0;0;0;4
11698;1;0;3;0;0;0;1;21;2;33;0;0;0;2;0;23;0;5;0;0;0;0;0;10;0;0;0;1;0;0;3;10;1;4;0;2;0;0;0;1;1;0;0;239;31;0;0;0;0;0;0;0;0;0;0;0;0;1
11792;3;0;1;0;0;0;5;23;2;33;0;3;0;3;0;44;0;4;0;0;0;0;0;5;1;0;0;4;0;0;4;9;2;1;0;4;0;0;0;2;0;0;0;196;37;0;0;0;0;0;0;0;2;0;0;0;0;4
11877;0;0;3;0;0;0;1;33;1;32;2;0;0;5;0;29;0;1;0;0;0;2;0;17;4;0;0;5;0;0;1;8;1;2;0;5;0;0;0;4;0;0;2;169;33;0;1;0;0;0;0;0;2;0;0;0;0;2
11992;0;0;5;0;0;0;0;30;1;39;0;0;0;1;0;37;0;4;0;0;0;0;0;14;2;0;0;0;0;0;1;11;1;5;0;2;0;0;0;5;1;0;3;134;48;0;0;0;0;0;0;0;2;0;0;0;0;2
