"name","group","element","units","context","S478860","S478861","S478863","S478862","S478864","S478865","S478866","S478867","S478869","S478868","S478870","S478871","S478872","S478873","S478874","S478875","S478876","S478877","S478878","S478879","S478880","S478881","S478882","S478883","S478884","S478885","S478886","S478887","S478888","S478890","S478889","S478891","S478892","S478893","S478894","S478895","S478896","S478897","S478898","S478899","S478900","S478901","S478902","S478903","S478904","S478905","S478906","S478907","S478908","S478909","S478912","S478911","S478910","S478913","S478914","S478915","S478916","S478917","S478918","S478919","S478920","S478921","S478922","S478923","S478924","S478925","S478926","S478927","S478928","S478930","S478929","S478931","S478932","S478933","S478934","S478935","S478936","S478937","S478938","S478939","S478940","S478941","S478942","S478943","S478944","S478945","S478946","S478947","S478948"
Indeterminable,UNID,pollen/spore,NISP,,3,,4,7,9,6,4,2,3,10,5,10,6,4,8,3,10,9,6,3,9,6,5,4,8,5,4,7,8,14,7,9,8,4,12,13,9,7,10,8,11,6,8,12,8,8,14,9,8,14,9,8,19,31,2,24,18,7,7,8,16,5,2,6,9,12,12,9,8,3,11,11,6,8,6,6,4,7,2,5,2,15,16,19,10,18,9,10,19
Indigofera,TRSH,pollen,NISP,,,,,,,2,,1,,,,,,,,,,,,1,,,,,1,2,,,,1,,,,1,,,5,,,2,2,,1,1,1,,1,,1,1,,,,,,1,,,,,,,,,1,,,2,,,,,,2,,,,,,,,,,,,,,,
Ipomoea,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Irvingiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,1,,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,
Isoberlinia,TRSH,pollen,NISP,,1,,,3,,2,1,1,,2,1,1,,1,2,,1,2,4,1,,,,,1,,1,1,2,,,,,1,2,2,1,1,5,2,,,3,2,2,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ixora,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,1,2,3,4,7,5,1,8,7,3,1,2,7,2,3,1,10,16,7,10,9,,2,10,5,,3,3,3,,2,,,,,,,,,,
Justicia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,1,,,,2,1,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,1,,,,,,,,,,,,,,,1,,
Khaya,TRSH,pollen,NISP,,,,,,,,,,2,,,1,,,,,,,,,1,,,,,,,1,,1,,,,1,,2,1,,2,,1,,,,,,,,,2,,,1,,2,,1,,1,,1,,1,6,4,1,1,,,,1,,,,,1,,,,,1,,,,,,,,
Kohautia,TRSH,pollen,NISP,,,,,1,1,,1,,1,,,1,,1,,,2,,1,,1,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Lamiaceae,UPHE,pollen,NISP,,1,,,,,,,,1,,,1,,,,,1,,,,,,,1,,1,,,,,,,1,1,,1,,1,,1,,,2,,,,,,,,,,1,1,,,,,,,,1,1,1,,1,,2,2,,,,,,2,,,2,1,,,,,,,,,,
Lannea/Sclerocarya,TRSH,pollen,NISP,,,1,3,,9,3,1,,2,2,1,3,2,7,4,5,12,8,5,9,21,1,2,,2,3,4,4,,2,1,3,6,12,16,7,3,12,8,5,1,2,8,5,4,1,1,,5,4,3,,1,2,4,4,1,1,1,3,5,1,2,2,1,11,,4,2,1,3,4,2,4,,3,5,2,1,2,8,,,,,,,,
Liliaceae,UPHE,pollen,NISP,,,,,,1,,,,1,,,,1,1,,,1,,,,,,,1,1,,,,,,,1,,,2,,,,,,,,,,,,,,,1,3,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Lobelia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lophira,TRSH,pollen,NISP,,,,,1,1,,,1,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,2,1,3,1,,1,3,4,2,2,1,1,3,3,2,,2,,,,,1,,,1,1,,1,,1,,,,,,,,,,,,,,
Lythraceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,
Macaranga,TRSH,pollen,NISP,,,,,,1,4,,,,,1,,,,1,2,,2,,,,1,,,1,,,,,,,,,,,,1,,2,,,,,1,,1,,3,1,,,1,,1,,1,4,2,,1,1,1,5,5,7,2,1,2,3,4,1,4,3,5,,,1,,,,,,,,,,,,
Maerua,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallotus,TRSH,pollen,NISP,,,,,,,,,,,1,,,,,1,2,,1,,,,,,,1,,,,,,1,,,3,,,,,,,,,3,,,1,,,2,6,1,5,5,6,1,4,4,2,4,4,6,10,3,3,4,3,6,5,8,1,3,2,7,2,5,1,1,,,,,,,,,,,,
Malvaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,
Manilkara,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Menispermaceae,UPHE,pollen,NISP,,,,,,,,,,1,1,,,,,,,,,,,1,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,2,,1,,,1,,2,,,,,,,,1,,,,1,,,,,,,,,
Mitracarpus hirtus,UPHE,pollen,NISP,,2,,3,1,2,2,,,4,1,,2,,,,1,1,,1,1,,1,3,1,,3,2,4,2,2,,,1,1,4,2,,2,,1,1,2,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,
Mitragyna,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,1,,,,,1,,,1,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Monocotyledoneae,SEED,pollen,NISP,,2,1,1,,1,1,,,,1,,,,,,,1,,,,,2,,,,,,,,,,2,,,,,,,3,1,2,,,1,,,,,1,,1,,,1,,,,1,1,,,1,1,1,,,1,,,,,,,2,,,,,,1,1,1,,1,,,,,1
Monoletes,PTER,spore,NISP,,,,,,1,1,,,1,1,1,,,,,1,1,,2,,,,,,,1,1,,1,1,1,,1,,,,1,,,,,,,,1,3,7,1,3,1,,2,5,1,3,1,3,4,2,,4,9,8,11,5,14,9,9,10,16,20,12,14,14,5,10,2,2,5,1,,,,,,,,4,6
Monotes lutambensis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,2,1,,3,7,3,,,1,2,5,,1,2,1,3,1,3,2,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moraceae,TRSH,pollen,NISP,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,2,1,,1,,,,,,,2,,,1,,,,1,,,,,,,,,,,,,,
Morelia senegalensis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,1,,,,,,,,1,1,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Mussaenda,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Nauclea,TRSH,pollen,NISP,,,,,1,3,2,2,,2,,,1,1,1,2,1,4,3,2,,2,,,,1,,1,,,,,,1,2,2,2,1,2,2,,3,1,,2,,,1,,1,,2,1,1,2,1,3,1,,1,,1,2,1,,1,1,,,1,,,,,1,,4,,,,,,,,,,,,,
Nymphaea,AQVP,pollen,NISP,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,3,,,1,,,,3,6,,,,2,,,,,,,,1,1,,,,1,,,,1,,,1,,,,,,,,,,,,,1,1,,,,,,,
Olea capensis subsp. hochstetteri,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,1,,,,,,1,,1,1,,1,6,2,,3,2,1,3,3,4,4,7,4,3,6,9,4,3,4,8,5,10,6,11,16,33,41,65,44,92,68,99,112,121,108,95,26,63,4,7,4,,,,,2,5,
Parkia,TRSH,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paullinia pinnata,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,2,,1,1,,4,1,2,,,6,,,,,,,,,1,,1,,,,,,,,,,,,,
Persicaria cf. P. senegalensis,UPHE,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,
Phoenix cf. P. reclinata,PALM,pollen,NISP,,,,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,,1,,,,1,1,2,,,,,,1,,,,,1,,1,2,3,1,2,2,4,20,7,5,2,,,,,,,,,,,,,,
Phyllanthus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Piliostigma,TRSH,pollen,NISP,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,1,1,,1,,,,1,,,,,,,,
Pinus,TRSH,pollen,NISP,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,1112,506,239,1044,863,532,685,536,697,547,699,543,668,680,814,635,732,793,741,615,851,826,891,708,746,747,686,746,728,730,673,741,786,552,695,678,561,660,728,541,704,677,502,655,682,501,630,597,430,611,551,481,555,570,445,607,520,429,660,622,510,607,459,427,477,560,467,422,587,420,405,495,527,478,596,577,560,510,627,640,745,613,135,84,142,843,461,463,403
Podocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,1,,,,2,,1,2,,1,1,,,,,1,,,,,1,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1
Polycarpaea,UPHE,pollen,NISP,,,,2,,,,,,,,,,1,,2,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,1,2,,,,1,,,,,,,,,,,,,,,,,,
Polygonaceae,UPHE,pollen,NISP,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prosopis,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,
Pterocarpus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,1,,3,,,,,,,,,,1,,,,,,,,,,,,
Raphia,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,
Rhus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rubiaceae,TRSH,pollen,NISP,,,,,,,,,,,2,,,1,,1,,,,,,,,,,1,,2,,,,,,2,,,1,2,,1,5,,,3,,,,,,1,,2,,,,,1,3,,1,,,,,2,,1,,3,,,,,,,,,,,,,,,,,,,,,
Rutaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
Salix cf. S. ledermanii,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,,,,,,,,,,,,,,,,
Salvadora,TRSH,pollen,NISP,,,,,,1,2,3,,,,,,,1,,,1,,,,,,,,,,,,,,,2,1,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Sapindaceae,TRSH,pollen,NISP,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Securinega virosa,TRSH,pollen,NISP,,,,,,2,4,3,4,3,2,1,5,2,1,3,,4,2,2,2,2,1,3,2,2,4,1,,3,8,1,1,3,1,1,3,,3,2,,,1,,1,,,,,2,,,,,1,1,,,1,,,1,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,
Solanum,UPHE,pollen,NISP,,,,1,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,1,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spermacoce,UPHE,pollen,NISP,,1,2,,,,,,,1,,1,,,,1,,1,,,,,,,1,,1,1,1,,,,,,3,3,2,1,,2,1,4,,1,2,,1,5,,1,2,2,3,3,2,1,3,,,3,7,5,3,11,1,,4,3,2,1,2,2,1,1,,,,,,,,,,,,,,,,
Sterculia,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strychnos,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Syzygium,TRSH,pollen,NISP,,,,,,,,2,,,,,,,1,,1,,,,,,,,,,,,,,,,2,,1,2,,2,2,1,,3,3,,3,1,1,,,2,6,,1,4,5,3,3,4,1,1,3,3,2,2,2,5,4,1,3,3,3,1,4,4,2,,2,3,2,2,2,,1,,,,,,,
Tacazzea apiculata,UPHE,pollen,NISP,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talinum,UPHE,pollen,NISP,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tapinanthus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thunbergia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,1,,,,,,,,,,,,,
Thymelaeaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,
Trema orientalis,TRSH,pollen,NISP,,,1,1,,,,,1,,2,,2,2,1,,,,,1,,2,1,,,,,,,,1,,1,,,,,,,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Triletes,PTER,spore,NISP,,,2,,1,,2,1,2,1,1,2,2,2,1,5,1,3,1,1,1,1,1,1,,1,,1,1,2,2,,1,1,2,,4,2,5,2,3,1,4,2,2,3,5,,4,1,3,7,3,6,4,2,2,2,4,2,5,3,3,3,1,3,5,1,,5,1,5,2,3,3,8,9,4,1,5,,1,4,,,,1,11,14,27
Typha,AQVP,pollen,NISP,,77,37,197,46,29,69,7,7,4,6,2,1,5,3,6,6,19,6,4,42,1,2,2,23,2,3,2,3,,1,3,3,4,6,7,1,2,2,2,5,3,1,8,3,3,2,3,2,,,2,,1,,2,,,3,,2,2,,1,,1,,1,,,1,,3,1,3,2,,5,11,19,16,40,22,1,9,3,,6,8,4
Uapaca,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,1,1,,,,1,1,2,,2,15,19,49,58,64,96,87,137,155,188,210,157,169,158,149,103,125,99,143,182,121,102,166,120,117,118,110,84,104,63,46,17,12,10,4,6,5,2,,3,,,,,,,
Urticaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,2,,1,,,1,,,,,3,1,,,1,,,,,,,,,,,,,,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
Vernonia,UPHE,pollen,NISP,,1,,1,1,,,,,,,,,,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Vitaceae,TRSH,pollen,NISP,,,,,,,1,,2,,,,,,,1,,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,,,,3,1,,,,,,,,,,,
Vitex,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ximenia americana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ziziphus,TRSH,pollen,NISP,,,,,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cf. Dialium,TRSH,pollen,NISP,,,,,,,,,,1,1,,,1,,,,,,,,,,,,1,,1,,,,,1,1,1,1,,1,1,,,,2,3,,,2,1,1,,,,,,,1,,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
cf. Scrophulariaceae,UPHE,pollen,NISP,,,,,,1,2,,,1,1,,,1,,1,,1,,,,2,1,3,,1,,,,,,2,,,3,4,5,3,2,4,3,9,1,,,1,2,,,1,2,1,1,2,1,,2,,,1,1,1,,1,,,,,,,,,1,,1,,3,,2,,,,1,,,,,,,
