"name","group","element","units","context","S478860","S478861","S478863","S478862","S478864","S478865","S478866","S478867","S478869","S478868","S478870","S478871","S478872","S478873","S478874","S478875","S478876","S478877","S478878","S478879","S478880","S478881","S478882","S478883","S478884","S478885","S478886","S478887","S478888","S478890","S478889","S478891","S478892","S478893","S478894","S478895","S478896","S478897","S478898","S478899","S478900","S478901","S478902","S478903","S478904","S478905","S478906","S478907","S478908","S478909","S478912","S478911","S478910","S478913","S478914","S478915","S478916","S478917","S478918","S478919","S478920","S478921","S478922","S478923","S478924","S478925","S478926","S478927","S478928","S478930","S478929","S478931","S478932","S478933","S478934","S478935","S478936","S478937","S478938","S478939","S478940","S478941","S478942","S478943","S478944","S478945","S478946","S478947","S478948"
Acanthaceae,UPHE,pollen,NISP,,,,1,1,,,,,,,,1,,1,,,,1,,,1,,,,,,,,,,,,,,1,,2,,,2,,1,,,,1,,,,,,1,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Adansonia digitata,TRSH,pollen,NISP,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adenia,TRSH,pollen,NISP,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,1,,3,,2,3,,3,1,1,3,1,,1,,1,2,5,3,9,3,8,3,8,6,3,12,6,2,4,5,6,4,3,3,4,2,,,,,,,
Adina,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,
Afraegle,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afzelia cf. A. africana,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alchornea,TRSH,pollen,NISP,,,,1,,2,2,2,2,1,,1,,,,,3,,,,,,,,,,1,1,,,1,,1,1,,,2,3,6,2,1,,4,2,7,,3,8,1,2,4,4,4,4,3,6,1,3,3,5,3,7,7,4,14,12,5,5,16,13,8,12,13,10,8,6,3,1,4,,1,,,,,,,,,
Allophylus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,1,,,1,,,,,,1,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,
Amaranthaceae,UPHE,pollen,NISP,,6,3,9,12,8,24,27,21,14,8,15,11,15,10,6,5,15,16,19,12,11,5,16,16,8,8,10,5,8,9,1,6,11,10,5,9,10,6,12,7,6,10,3,5,4,1,4,1,,4,2,,4,3,1,2,1,,1,,,1,1,,,2,2,2,1,1,1,2,3,3,3,4,,7,1,3,12,15,5,,5,57,34,2,1
Anacardiaceae,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
Annonaceae,TRSH,pollen,NISP,,,,,,,,,,1,,,3,,,,,,,,,,,1,1,1,,1,,,,,1,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,2,,2,,3,,,,,,,
Antidesma,TRSH,pollen,NISP,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,1,,,,,1,1,1,,,,,,2,,,,,,,,,,,,,,,,,
Apiaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,
Apocynaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,
Araliaceae,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Arecaceae,PALM,pollen,NISP,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,3
