"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
Nuxia,TRSH,pollen,NISP,,,1,7,11,3,2,1,11,3,20,12,,1,,,1,,4,1,3,,1,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,1,1,1,,,,,,2,,,,1,4,4,3,2,,,2,2,,,1,1,1,,,,,,1,,
Nymphaea,AQVP,pollen,NISP,,,,,,,,,,,,13,,1,,,,,1,,,,3,,,,,,1,,,,,,,,,,,,,,,,,,1,1,,,,,,,1,,,,,,1,,,1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Olea,TRSH,pollen,NISP,,1,4,13,2,1,,11,26,7,19,43,20,5,51,17,2,19,9,16,31,1,1,1,8,34,6,10,2,3,2,,1,2,3,25,4,,5,5,22,3,21,14,11,3,7,6,12,2,6,5,6,,3,11,7,5,10,27,1,16,27,6,12,3,19,13,12,14,10,5,25,16,11,18,10,11,21,8,,2,5,29,,7,13,15,14,14,13,30,17,15,12,2,8
Pavetta,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,1,,1,1,,,,,,,,,,1,,,1,,1,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,
Phyllanthus,UPHE,pollen,NISP,,,,1,5,2,,1,8,,,,,,,,,,,,,,1,,,2,,,,3,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,1,,1,,,,,,,1,4,,,,2,,,,,,,2,,
Plectranthus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1,,1,,,1,1,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,,1,1,,,,,,,,,,,,,
Poaceae,UPHE,pollen,NISP,,21,37,194,50,11,58,17,1044,47,350,1794,80,7,1234,51,173,65,355,41,439,4,134,48,82,158,35,29,45,63,19,76,74,160,190,120,176,162,111,69,365,38,209,85,146,88,144,17,255,131,111,29,92,86,92,48,94,65,130,177,55,275,165,51,114,44,65,113,120,71,67,73,126,61,72,71,71,55,71,53,81,57,52,107,40,55,79,36,62,79,96,65,61,70,54,102,52
Podocarpus,TRSH,pollen,NISP,,7,44,145,39,6,69,45,286,11,103,504,30,2,229,15,26,20,94,11,76,5,68,18,26,177,7,13,15,6,2,2,6,3,6,21,20,16,31,36,216,43,128,50,70,38,18,26,41,43,22,28,76,27,50,40,73,71,116,197,31,167,176,78,128,71,93,95,129,65,42,47,147,66,157,72,81,110,100,57,118,113,133,159,18,98,183,114,150,110,157,104,115,136,102,215,36
Polygonum,UPHE,pollen,NISP,,,,,,1,,,6,1,,2,,,,,1,,,2,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,1,,,,,,,1,,,,,1,,,,,,,1,,
Polyscias,TRSH,pollen,NISP,,2,1,,27,3,53,19,419,2,133,418,,2,318,11,163,4,224,31,155,16,40,22,49,604,33,113,12,297,16,145,,12,2,33,1,10,3,167,506,147,193,83,113,4,7,1,8,1,3,11,2,27,11,12,8,1,,17,2,8,18,2,,1,12,10,2,,1,2,27,2,10,4,6,,,1,42,6,3,1,25,6,1,5,,2,,,9,4,,2,10
Potamogeton,AQVP,pollen,NISP,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,1,,,,,,,,,,1,,1,71,22,,,,,1,,1,1,1,1,,40,,,,,,,
Protea,TRSH,pollen,NISP,,,,,14,2,30,1,134,1,35,72,,,31,,27,,30,2,12,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,1,,1,,,,,,,,,1,,,,,,1,,,,,,3,,
Prunus,TRSH,pollen,NISP,,1,1,,,,,,,1,,9,,1,,,,,,,,1,1,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,1,,,1,1,,,,,1,,,,,,,,,,,,8,5,8,4,,,,,,,1,1,,2,,,,,,,,,,,
Ranunculus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,5,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
Rapanea,TRSH,pollen,NISP,,1,,,,,,,2,,,108,3,1,,1,,,1,,8,5,,1,10,11,,3,,,,13,,6,,3,,10,,,88,41,31,,22,24,,,4,9,3,5,30,13,1,1,62,30,13,13,5,6,16,9,6,1,,,8,6,1,1,,1,5,1,,,,,,,,28,,2,,1,,,15,8,,15,6,21,
Rhus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,2,,,,,,1,,,,,2,,,,,1,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,
Ricinus,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,40,,2,,10,,1,,,,,,,,,1,,,,,,,,,,,,,,,,1,,2,,,,,,,,,,1,,,,,,,,,,,5,,
Rubiaceae,TRSH,pollen,NISP,,,2,23,3,1,,16,,1,,,29,1,,,,4,131,36,57,12,,,,,,,,,2,1,,,,,,,,,9,1,31,,17,1,1,1,3,2,37,1,1,6,,,5,1,,,3,2,,1,,,,,,,,4,,,,1,,,,,,,2,1,,,,,,,1,1,,2,,2,1
Rubus,TRSH,pollen,NISP,,,,,,,,,3,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,
Ruellia,UPHE,pollen,NISP,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,1,,,,,,,,,,,1,,,,1,,,,,,,,,,1,,2,,,,,,,,,
Rumex,UPHE,pollen,NISP,,,,,,,,,,2,,,,,,,2,1,12,1,6,3,,,,1,,,,,,,,8,,6,,,,,,,,,,,,,,,1,3,,,1,,,,,,3,,,1,,,,2,3,,,,,1,,1,,,,,,,1,1,,1,,,,1,,2,2,1,,,
Rutaceae,TRSH,pollen,NISP,,,,2,,1,,1,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,2,,,,,,1,,,1,,,,,,1,1,,,,2,1,,,,,,2,1,1
Sapindaceae,TRSH,pollen,NISP,,,,,,,,,,,,4,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,1,,1,,,,1,3,,,,1,,,,,,,2,,
Sapotaceae,TRSH,pollen,NISP,,,,,1,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,1,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,7,,,,1,,,1,,,,,,,,,,,
Schefflera,TRSH,pollen,NISP,,3,8,20,,1,,21,17,1,,2,1,1,56,35,194,55,,91,3,3,18,31,108,55,168,8,285,41,131,11,25,10,97,4,42,11,71,7,75,17,14,3,3,1,11,1,1,2,1,3,,7,1,2,6,,1,,,7,3,1,,7,26,,,,,,,1,,19,,14,14,6,3,,3,4,85,3,6,4,6,7,3,4,4,15,9,17,7
Solanum,UPHE,pollen,NISP,,,,2,1,,,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,2,1,,,,2,,1,,,,,,,,,,,,,4,2,4,3,1,,2,1,3,3,2,1,,,,,,,,1,,,,,,,,,,,,,
Spirogyra,ALGA,palynomorph,NISP,,1,,5,,,,,,,3,6,5,,,,,1,12,156,2,3,,6,1,2,,,6,,,1,,,,2,,,1,1,,,,1,,1,,,,,1,1,,,1,1,,,,,,,,,,1,,,,,,,,1,,,,,,,3,,1,,2,2,,,,,,,,,,,
Stemodia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,123,,31,,7,1,14,4,,,,,,2,1,7,,,20,14,9,13,11,11,3,,,,,,,,1,11,2,1,,,,,,,,,,,,,,,,4,,1,7,20,11
Stephania,UPHE,pollen,NISP,,,,2,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,,3,2,,1,,1,,,,,,,1,,
Stoebe,UPHE,pollen,NISP,,,3,5,,,,,2,1,2,1,,,,,,,8,,,,4,,,,,,,,,,,,,,,,,,3,,2,5,,,,,8,,1,27,40,,33,1,12,18,,,,2,,5,20,10,7,28,27,16,14,20,48,24,36,2,10,34,35,34,14,30,16,71,,5,56,11,35,43,15,35,19,29,38,43,18
Striga,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,1,,,,,,1,,,1,1,1,,,1,3,,1,,,,,,,,,,,2,1,,1,,3,,,,,,,,,
Syzygium,TRSH,pollen,NISP,,5,1,,5,1,4,1,1,,1,2,,,1,,,,13,,1,,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,5,,,,,,,2,,,,1,,1,,1,1,,,,1,,1,,,,,,,,,,,,
Tapinanthus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,
Tarenna,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,84,,36,,,,17,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,1,,
Terminalia,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,1,,1,,,,,,1,,1,,1,,,,,,,1,,,,,,,,,,1,,5,,
Trema,TRSH,pollen,NISP,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,1,,1,,,,,,,,,1
Typha,AQVP,pollen,NISP,,,1,,,,,,,,,,1,,,5,,4,,,,1,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,1,,,,,,,,,,,,,7,184,29,2,1,,2,,,3,,,1,,,,,,,1,,,,,,,1,1,,,,,,
Unknown,UNID,pollen/spore,NISP,,3,1,20,32,,4,,45,2,10,22,,1,28,,11,,36,,15,,2,5,4,15,2,,5,10,2,,4,1,,,,,4,13,2,,,8,1,,,,2,,,2,1,,2,,2,,,,,1,1,2,6,1,4,1,,1,,1,,1,,4,13,5,6,4,9,1,5,1,11,4,4,2,6,,,2,10,2,,,7
Urticaceae,UPHE,pollen,NISP,,3,2,2,,,5,2,,1,3,19,,1,11,,1,,8,,14,12,,1,,78,67,10,19,3,1,27,70,70,3,28,5,45,87,14,,1,,1,,3,1,1,,3,1,2,,,,,153,15,,,1,,,1,,1,1,,,2,,,,,,,,,1,,,,1,5,9,,,1,,,7,,,,1,,
Valeriana,UPHE,pollen,NISP,,,,1,,,,,,,,,,,,,2,,21,,5,1,3,,,,2,,3,,,,1,,,,,,,,,,,,,,,,,,3,1,,,,6,,,,1,,2,3,1,,,,,,,,1,,1,,1,,,,,1,,2,1,1,2,,,,,,,,,,,
Vernonia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,1,,,,,,1,,,1,2,4,4,1,2,,1,1,1,1,3,1,,,,,,,1,,,,,,,,,,,,,,
Vicia,UPHE,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,,,,,,,1,,,,,,,,,
Ziziphus,TRSH,pollen,NISP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,2,,,1,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,
