"name","group","element","units","context","S428969","S428970","S428971","S428972","S428973","S428974","S428975","S428976","S428977","S428978","S428979","S428980","S428981","S428982","S428983","S428984","S428985","S428986","S428987","S428988","S428989","S428990","S428991","S428992","S428993","S428994","S428995","S428996","S428997","S428998","S428999","S429000","S429001","S429002","S429003","S429004","S429005","S429006","S429007","S429008","S429009","S429010","S429011","S429012","S429013","S429014","S429015","S429016","S429017","S429018","S429019","S429020","S429021","S429022","S429023","S429024","S429025","S429026","S429027","S429028","S429029","S429030","S429031","S429032","S429033","S429034","S429035","S429036","S429037","S429038","S429039","S429040","S429041","S429042","S429043","S429044","S429045","S429046","S429047","S429048","S429049","S429050","S429051","S429052","S429053","S429054","S429055","S429056","S429057","S429058","S429059","S429060","S429061","S429062","S429063","S429064"
Corchorus,UPHE,pollen,NISP,,,,,,1,,,,,,,,,,2,,,8,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,
Cordia,TRSH,pollen,NISP,,1,,,,,3,2,8,2,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,1,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,,,2,,,,,,,,,
Cornus subg. Afrocrania,TRSH,pollen,NISP,,,2,,14,6,8,1,55,4,28,98,36,6,28,16,37,32,14,37,28,7,8,3,9,62,14,21,14,10,6,5,1,10,4,8,1,,,,10,5,4,,13,4,2,1,1,1,3,1,1,,1,,,5,,,,,,,,,,,,,,1,,,,1,,,,,,,,3,,,,,,,,,,,,,
Croton,TRSH,pollen,NISP,,,1,2,,,,3,12,4,6,26,5,1,36,8,34,14,16,21,15,6,,,,22,,2,1,4,1,1,,1,1,1,1,,,,8,1,5,,7,1,,1,,4,2,1,,3,2,2,1,,2,,1,1,3,1,,1,,,,,,,,1,,1,1,,,,2,1,1,1,,5,,1,,,,,2,,,,
Cucurbitaceae,UPHE,pollen,NISP,,,,,,,,,,2,,,,,,,,,,,,1,,,,,3,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,1,1,1,,,,,2,1,,1,,2,1,1,,,,,2,,,2,,,,1,,3,,,2,,
Cuscuta,UPHE,pollen,NISP,,,,,,,,1,,,,,,,,,,,2,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,1,,,,,1,,,,,1,,,,,,,,1,,1,,,,,,,,1,,,,,,,,,,,,,
Cyathea,VACR,spore,NISP,,5,1,50,27,1,27,38,255,6,77,534,115,2,604,66,73,118,18,12,81,1,4,,138,68,42,6,1,,17,3,,,24,1,7,,5,,31,,13,2,18,,1,,1,,,1,,19,1,3,,,29,25,23,45,43,3,24,8,16,12,8,3,5,3,28,4,12,1,9,8,5,1,4,2,1,,69,3,1,,1,3,,,,,,,1
Cyperaceae,UPHE,pollen,NISP,,7,17,1417,256,2,28,1,140,4,33,86,2,2,43,,13,4,353,3,103,5,98,49,192,53,50,11,85,114,160,180,610,910,1130,525,547,83,329,160,127,14,238,156,52,30,9,22,455,41,16,77,26,97,65,24,57,12,25,97,43,101,87,21,29,44,44,61,57,36,22,31,54,17,34,70,75,59,57,34,,2,33,21,60,57,43,22,37,27,21,25,31,30,8,30,15
Dombeya,TRSH,pollen,NISP,,,,,1,,,,,,,,,,,,,,17,1,5,2,4,3,2,12,4,,7,15,4,3,1,4,3,,,4,2,6,27,8,13,8,5,3,1,1,3,1,1,,,3,1,1,6,2,1,,1,3,4,2,4,1,,,,,1,1,,1,7,,,,1,1,,,,3,,,,,1,,,,,1,,1,1
Dracaena,SUCC,pollen,NISP,,,,3,,1,,,,,,1,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,1,,,,,,1,,,,1,,,,,,,,,,1,,,,,,,,,1,,
